date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:38	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/robots.txt		(from )
15:37:39	119980/119980	---M-Z	200	added ('OK')	text/html	etag:%221d4ac-6423e40f-e5df3702ab290ada;gz%22	https://247cointrading.com/	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/index.html	(from )
15:37:41	1659/1659	---M--	200	added ('OK')	image/png	etag:%22d25448df23f6b7984e98517eaf503297%22	https://cdn.bitpanda.com/media/redesign/favicon/favicon-32x32.png	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/redesign/favicon/favicon-32x32.png	(from https://247cointrading.com/)
15:37:42	1187/1187	---M--	200	added ('OK')	image/png	etag:%22d3374857c7c61272303fef2121f452c1%22	https://cdn.bitpanda.com/media/redesign/favicon/favicon-16x16.png	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/redesign/favicon/favicon-16x16.png	(from https://247cointrading.com/)
15:37:42	16420/16420	---M--	200	added ('OK')	application/octet-stream	etag:%22885c5b776d2d19e3688c7ae4d5ce0ff0%22	https://cdn.bitpanda.com/media/fonts/bp-assets/bp-assets.woff2	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/fonts/bp-assets/bp-assets.woff2	(from https://247cointrading.com/)
15:37:44	39424/39424	---M--	200	added ('OK')	application/octet-stream	etag:%2256fcedc954b09ce8f55c6780d55f1016%22	https://cdn.bitpanda.com/media/fonts/EuclidSquare/EuclidSquare-Regular.woff2	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/fonts/EuclidSquare/EuclidSquare-Regular.woff2	(from https://247cointrading.com/)
15:37:45	255/255	---MCZ	403	error ('Forbidden')	application/xml	date:Sat,%2014%20Oct%202023%2014:37:44%20GMT	https://cdn.bitpanda.com/	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/index.html	(from https://247cointrading.com/)
15:37:46	39488/39488	---M--	200	added ('OK')	application/octet-stream	etag:%2239f022af561204e2d500fd4dfae4cd80%22	https://cdn.bitpanda.com/media/fonts/EuclidSquare/EuclidSquare-Medium.woff2	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/fonts/EuclidSquare/EuclidSquare-Medium.woff2	(from https://247cointrading.com/)
15:37:46	4518/4518	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2014%20Oct%202023%2014:37:45%20GMT	https://code.highcharts.com/	/home/arewageek/dev/clones/247%20coin%20trading/code.highcharts.com/index.html	(from https://247cointrading.com/)
15:37:46	49/49	---M--	404	error ('Not%20Found')	text/plain	etag:%22328257380186d550f96adf638ff85092%22	https://cdn.segment.com/	/home/arewageek/dev/clones/247%20coin%20trading/cdn.segment.com/index.html	(from https://247cointrading.com/)
